city;race_name;date;when;division;who;total time;W/L/T;hurdles;name;start;time;error;anomaly;w_pair
Heroltice;Hanácké škvarek;2023-04-22;10:11:57;1;Wildrunners Dreamers;17.01;L;25.0;Sunny;-0.24;4.21;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:11:57;1;Wildrunners Dreamers;17.01;L;25.0;Dixie;0.3;4.24;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:11:57;1;Wildrunners Dreamers;17.01;L;25.0;Alex;0.16;4.22;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:11:57;1;Wildrunners Dreamers;17.01;L;25.0;Hector;0.0;4.13;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:11:57;1;Wildrunners Maximini;19.43;L;25.0;Brooke;-0.11;4.08;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:11:57;1;Wildrunners Maximini;19.43;L;25.0;Rocky;1.29;5.15;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:11:57;1;Wildrunners Maximini;19.43;L;25.0;Bella;0.23;4.52;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:11:57;1;Wildrunners Maximini;19.43;L;25.0;Bree;0.0;4.28;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:13:25;1;Wildrunners Dreamers;17.42;W;25.0;Sunny;0.02;4.25;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:13:25;1;Wildrunners Dreamers;17.42;W;25.0;Dixie;0.15;4.23;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:13:25;1;Wildrunners Dreamers;17.42;W;25.0;Alex;0.34;4.25;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:13:25;1;Wildrunners Dreamers;17.42;W;25.0;Hector;0.0;4.18;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:13:25;1;Wildrunners Maximini;18.59;L;25.0;Brooke;-0.63;4.25;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:13:25;1;Wildrunners Maximini;18.59;L;25.0;Rocky;0.79;5.5;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:13:25;1;Wildrunners Maximini;18.59;L;25.0;Bella;0.16;4.56;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:13:25;1;Wildrunners Maximini;18.59;L;25.0;Bree;-0.33;4.28;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:15:06;1;Wildrunners Dreamers;16.73;W;25.0;Sunny;-0.06;4.21;TRUE;TRUE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:15:06;1;Wildrunners Dreamers;16.73;W;25.0;Dixie;-0.19;4.29;TRUE;TRUE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:15:06;1;Wildrunners Dreamers;16.73;W;25.0;Alex;0.12;4.27;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:15:06;1;Wildrunners Dreamers;16.73;W;25.0;Hector;999.0;4.08;TRUE;TRUE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:15:06;1;Wildrunners Maximini;18.01;L;25.0;Brooke;-0.59;4.28;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:15:06;1;Wildrunners Maximini;18.01;L;25.0;Rocky;0.54;5.16;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:15:06;1;Wildrunners Maximini;18.01;L;25.0;Bella;999.0;4.57;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:15:06;1;Wildrunners Maximini;18.01;L;25.0;Bree;-0.17;4.22;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:37:19;1;Wildrunners Hopefuls;16.14;L;27.5;Enola;0.2;3.87;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:37:19;1;Wildrunners Hopefuls;16.14;L;27.5;Maggie;0.13;3.97;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:37:19;1;Wildrunners Hopefuls;16.14;L;27.5;Tyna;999.0;4.1;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:37:19;1;Wildrunners Hopefuls;16.14;L;27.5;Moon;999.0;3.87;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:37:19;1;Fofr Dog;18.43;L;22.5;Hessie;-0.06;4.76;TRUE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:37:19;1;Fofr Dog;18.43;L;22.5;Dizzy;0.0;4.41;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:37:19;1;Fofr Dog;18.43;L;22.5;Tex;0.32;3.85;FALSE;FALSE;FALSE
Heroltice;Hanácké škvarek;2023-04-22;10:37:19;1;Fofr Dog;18.43;L;22.5;Ogi;0.36;4.78;FALSE;FALSE;FALSE
